130	147	-10.16	-61.10	106.17	
131	147	-10.16	-61.10	106.17	
132	147	-10.15	-61.10	106.16	
133	147	-10.15	-61.10	106.17	
134	147	-10.05	-61.08	106.05	
135	147	-10.06	-61.07	106.06	
136	147	-10.06	-61.08	106.06	
137	147	-10.07	-61.07	106.08	
138	147	-10.07	-61.07	106.09	
139	147	-10.07	-61.08	106.08	
140	147	-9.99	-61.05	105.97	
141	147	-9.99	-61.06	105.97	
142	147	-10.00	-61.07	105.98	
143	147	-10.01	-61.08	105.99	
144	147	-10.01	-61.08	106.00	
145	147	-10.01	-61.10	105.99	
146	147	-9.84	-61.09	105.78	
147	147	-9.83	-61.10	105.77	
148	147	-9.82	-61.11	105.75	
149	147	-9.82	-61.12	105.74	
150	147	-9.81	-61.13	105.73	
151	147	-9.81	-61.13	105.73	
152	147	-9.69	-61.12	105.59	
153	147	-9.69	-61.12	105.58	
154	147	-9.67	-61.13	105.56	
155	147	-9.66	-61.13	105.55	
156	147	-9.66	-61.14	105.55	
157	147	-9.65	-61.14	105.55	
158	147	-9.70	-61.10	105.59	
159	147	-9.70	-61.10	105.59	
160	147	-9.70	-61.11	105.60	
161	147	-9.70	-61.12	105.60	
162	147	-9.70	-61.12	105.60	
163	147	-9.71	-61.13	105.61	
164	147	-9.69	-61.10	105.57	
165	147	-9.70	-61.10	105.57	
166	147	-9.71	-61.10	105.59	
167	147	-9.72	-61.10	105.60	
168	147	-9.73	-61.10	105.61	
169	147	-9.74	-61.10	105.63	
170	147	-9.54	-61.09	105.38	
171	147	-9.54	-61.10	105.39	
172	147	-9.55	-61.11	105.40	
173	147	-9.57	-61.11	105.42	
174	147	-9.58	-61.12	105.43	
175	147	-9.59	-61.13	105.44	
176	147	-9.61	-61.10	105.44	
177	147	-9.61	-61.10	105.44	
178	147	-9.63	-61.11	105.45	
179	147	-9.65	-61.12	105.47	
180	147	-9.66	-61.12	105.49	
181	147	-9.68	-61.13	105.51	
182	147	-9.49	-61.12	105.27	
183	147	-9.52	-61.14	105.29	
184	147	-9.53	-61.15	105.30	
185	147	-9.56	-61.16	105.31	
186	147	-9.58	-61.18	105.31	
187	147	-9.60	-61.19	105.33	
188	147	-9.55	-61.18	105.26	
189	147	-9.56	-61.18	105.26	
190	147	-9.56	-61.20	105.27	
191	147	-9.57	-61.20	105.27	
192	147	-9.58	-61.20	105.28	
193	147	-9.59	-61.20	105.29	
194	147	-9.52	-61.18	105.20	
195	147	-9.53	-61.17	105.21	
196	147	-9.55	-61.16	105.23	
197	147	-9.56	-61.15	105.26	
198	147	-9.58	-61.15	105.28	
199	147	-9.59	-61.13	105.29	
200	147	-9.33	-61.12	104.97	
201	147	-9.31	-61.11	104.97	
202	147	-9.30	-61.11	104.97	
203	147	-9.28	-61.11	104.96	
204	147	-9.26	-61.10	104.95	
205	147	-9.25	-61.10	104.94	
206	147	-9.08	-61.09	104.74	
207	147	-9.07	-61.09	104.73	
208	147	-9.06	-61.09	104.72	
209	147	-9.05	-61.09	104.71	
210	147	-9.06	-61.10	104.71	
211	147	-9.06	-61.10	104.72	
212	147	-9.05	-61.07	104.70	
213	147	-9.07	-61.07	104.73	
214	147	-9.10	-61.07	104.78	
215	147	-9.12	-61.06	104.82	
216	147	-9.15	-61.05	104.87	
217	147	-9.18	-61.03	104.92	
218	147	-9.33	-60.96	105.09	
219	147	-9.37	-60.95	105.14	
220	147	-9.41	-60.94	105.19	
221	147	-9.45	-60.93	105.25	
222	147	-9.50	-60.91	105.32	
223	147	-9.55	-60.89	105.39	
224	147	-9.53	-60.83	105.37	
